quest_cluster,quest_or_stage_signal,vanilla_surface,modding_signal_meaning,primary_quest/lore context,hook_route,anti_farm_rule,source_id,status
Main Quest,Dragon rising / Dragonborn proof,Quest stage or PO3 QuestStageChange,"Player becomes publicly marked by dragon soul and Thu'um",Talos/Kyne/Akatosh,"Curated quest-stage row; optional PO3 QuestStageChange","One-shot per main quest milestone",uesp_skyrim_quests,design-seed
Main Quest,Way of the Voice / Greybeard recognition,Quest stage or New Voice Power,"Voice discipline rather than raw shout use",Kyne/Talos/Nord Old Ways,"Quest stage plus NewVoicePower/ShoutAttack context","Milestone only; avoid every shout",uesp_skyrim_quests,design-seed
Main Quest,Paarthurnax choice,Quest stage/dialogue fragment,"Mercy, justice, obedience, and dragon moral agency",Akatosh/Kyne/Stendarr/Talos,"Curated dialogue or quest-stage signal","One-shot mutually exclusive marker",uesp_skyrim_quests,design-seed
Civil War,Join Imperial Legion,Faction rank / quest stage,"Civic order, Concordat compromise, public empire loyalty",Imperial Divines/Talos pressure,"Faction plus CW quest stage","One faction-choice marker",uesp_skyrim_factions,design-seed
Civil War,Join Stormcloaks,Faction rank / quest stage,"Open Talos defiance and Nord identity politics",Talos/Kyne/Shor,"Faction plus CW quest stage","One faction-choice marker",uesp_skyrim_factions,design-seed
Civil War,Jagged Crown handoff,Quest stage/item transfer,"Loyalty test and possible betrayal",Talos/Imperial civic order/Nocturnal,"Curated quest-stage or item removal signal","One-shot; do not repeat if crown changes inventory",uesp_skyrim_quests,design-seed
Civil War,Whiterun siege outcome,Quest stage/location event,"Public violence against a hold community",Talos/Imperial civic order/Arkay,"Quest stage plus location context","One-shot per side/outcome",uesp_skyrim_quests,design-seed
Companions,Join Companions,Faction rank / quest stage,"Nord martial brotherhood and honor entry",Kyne/Tsun/Shor,"Faction rank plus quest stage","One rank threshold per faction tier",uesp_skyrim_factions,design-seed
Companions,Accept beast blood,Quest stage / race switch / curse state,"Hircine compact and lycanthropic rupture",Hircine/Arkay/Stendarr/Nord Old Ways,"Curated quest stage plus OnLycanthropyStateChanged","Transition marker only",uesp_skyrim_disease,design-seed
Companions,Cure Kodlak / cure self,Quest stage / cure state,"Restoration of death-order and afterlife aspiration",Arkay/Tsun/Hircine,"Quest stage plus cure-state signal","One-shot per cure event",uesp_skyrim_quests,design-seed
College of Winterhold,Join College,Faction rank / quest stage,"Legitimate magical study under institution",Julianos/Magnus/Syrabane,"Faction rank plus quest stage","Rank milestone only",uesp_skyrim_factions,design-seed
College of Winterhold,Saarthal discovery,Quest stage/location,"Ancient magic, buried elven/Nord history, dangerous knowledge",Julianos/Hermaeus Mora/Auri-El,"Quest stage plus location context","One-shot",uesp_skyrim_quests,design-seed
College of Winterhold,Eye of Magnus finale,Quest stage,"Magic restraint, crisis stewardship, Psijic-adjacent mystery",Magnus/Julianos/Hermaeus Mora,"Quest stage one-shot","One-shot final state",uesp_skyrim_quests,design-seed
