topic,tool_or_domain,source_id,authority_tier,use_for,not_for,currentness_note,automation_note,validation
Current CK distribution,Creation Kit,steam_ck_sse,primary-current,"Confirm Steam-distributed Skyrim Special Edition Creation Kit availability and baseline purpose","Detailed authoring workflow or engine behavior","Steam page is current distribution surface; inspect local executable for exact installed version","Use as install/distribution source, not as behavior oracle",source-backed
CK Steam migration,Creation Kit,bethesda_ck_steam,primary-current,"Confirm Bethesda.net Launcher to Steam availability context","Version-specific CK behavior or mod author workflow","Bethesda support page documents Steam availability after launcher sunset","Use to explain why current CK comes from Steam",source-backed
CK wiki hub,Creation Kit,ck_wiki_main,primary-reference,"Route CK topics to tutorials, editor reference, scripting reference, and game-system pages","Latest executable release notes or local plugin truth","Community-run wiki; validate old pages against SSE/AE and local tools","Use as top-level CK reference index",source-backed
Plugin file model,Plugin architecture,ck_data_file,primary-reference,"Explain masters, plugins, active files, FormIDs, records, and overrides","Current xEdit header edge cases or modlist policy","CK Wiki data-file page includes LE-era language; pair with xEdit release notes for modern SSE details","Use for baseline plugin concepts and then require local verification",source-backed
Modern CK asset tooling,Creation Kit,ck_asset_watcher,primary-reference,"Track current CK asset watcher and Blender export context","General record architecture or gameplay behavior","Relevant to CK 1.6.1378.1-era tooling; asset workflows remain version-sensitive","Use only for asset pipeline references",source-backed
xEdit manual,xEdit,xedit_docs,primary-reference,"Understand xEdit purpose, terminology, cleaning, conflict review, filters, and workflow","Authoring quests, navmesh, scenes, or dialogue from scratch","Official documentation is a broad manual; some examples are cross-game","Use for xEdit workflow and terminology",source-backed
xEdit release notes,xEdit,xedit_releases,primary-current,"Track version-sensitive record definitions, header behavior, extended FormID range, and bugfixes","General CK authoring practice","GitHub latest release may lag Discord test builds; record exact local version when auditing","Use before making claims about current xEdit behavior",source-backed
LOOT documentation,Modlist integration,loot_docs,primary-reference,"Route load-order, metadata, cleaning, and masterlist questions","Exact plugin conflict decisions","Docs are authoritative for LOOT behavior, not for Skyrim engine semantics","Use for LOOT metadata and contribution links",source-backed
LOOT mod author guidance,Modlist integration,loot_mod_authors,primary-reference,"Document parseable version strings and useful LOOT team communication","Blanket load-last rules or mod-specific compatibility truth","Current LOOT docs describe mod-author-facing metadata practices","Use for release metadata checklist rows",source-backed
Wrye Bash tags,Modlist integration,wrye_bash_advanced,primary-reference,"Explain Bash tag sources, priority, and when tags should be applied","Engine behavior or non-Bashed Patch compatibility","Wrye Bash docs are current tool docs; tag behavior can vary by game and record family","Use for Bash tag and Bashed Patch review",source-backed
Local CK and xEdit versions,Local baseline,local_ck_xedit_versions,local-baseline,"Record inspected local CK and SSEEdit versions for this repo's 2026-05-20 update","General claims about every user's setup","Observed in local Anvil workspace: CK 1.6.1378.1 and SSEEdit 4.1.5.0","Use as provenance for this update only",local-data-backed
CKPE repository,Creation Kit tooling,ckpe_github,tool-primary,"Track CKPE install model, release location, supported games, and source project","Bethesda-supported CK behavior","Project README is maintained by CKPE author; verify release compatibility before installing","Use for CKPE source and install references",source-backed
CKPE wiki,Creation Kit tooling,ckpe_wiki,tool-primary,"Track CKPE features, supported CK versions, settings, Unicode cautions, and support paths","Vanilla CK claims without CKPE installed","Wiki listed Skyrim SE CK 1.6.1378.1 as active when reviewed","Use for version support and CKPE-specific caveats",source-backed
MO2 CK setup,Tool setup,mo2_ck_setup,tool-primary,"Explain CK script-source path issues and MO2 virtualized setup concerns","Current CKPE feature claims or engine behavior","MO2 wiki page is older; use for setup concept and validate against current profile","Use as practical setup reference with currentness warning",workflow-synthesis
Arcane University CKPE,Creation Kit tooling,beyond_skyrim_ckpe,practical-synthesis,"Corroborate CKPE as recommended practical tooling for Skyrim SE authoring","Exact CKPE version support or engine behavior","Project wiki summary is useful but not primary CKPE documentation","Use only as practical recommendation signal",workflow-synthesis
Arcane University xEdit cleaning,xEdit,beyond_skyrim_xedit_cleaning,practical-synthesis,"Capture practical cleaning cautions, manual review, QuickAutoClean limits, and master cleanup workflow","Unqualified engine behavior claims","Project workflow guidance; author intent still decides whether edits are dirty","Use for checklist cautions with source label",workflow-synthesis
ModdingLinked xEdit basics,xEdit,moddinglinked_xedit_basics,practical-synthesis,"Explain xEdit mental model, rightmost-wins, forwarding, and patch-plugin habit","Tool specification or authoritative CK behavior","Guide is practical cross-game education; xEdit docs win for exact tool behavior","Use for approachable workflow wording only",workflow-synthesis
