signature,record_type,modding_relevance,preferred_validation,source_id,notes
QUST,Quest,"Service quests, deity/reputation quests, Story Manager receivers, faction/quest milestone signals",local plugin data plus CK Wiki,ck_quest_data,"Check start-game-enabled, run-once, aliases, scripts, stages, and event binding."
FACT,Faction,"Guild membership, crime scope, combat reaction, ownership and rank signals",local master data plus UESP/CK,uesp_skyrim_factions,"Ranks and crime tabs need local extraction before implementation."
KYWD,Keyword,"Actor type, location type, vendor categories, magic tags, offering and condition gates",local master data plus CK Wiki,ck_keyword,"Keywords are metadata; behavior comes from consuming systems."
MGEF,Magic Effect,"Blessings, neglect, boons, conditions, UI-visible active effects",local master data plus CK Wiki,ck_magic_effect,"Validate archetype, casting type, hide-in-UI, conditions, and keywords."
SPEL,Spell,"Ability spells, blessing spells, disease spells, powers",local master data plus CK Wiki,ck_magic_effect,"Most persistent mod boons should be Ability spells with conditioned effects."
RACE,Race,"Origin detection, race variants, vampire normalization, beast-form deferral",local master data plus UESP,uesp_skyrim_races,"Example origin-index columns are project-specific; verify against your own mod scripts."
AVIF,Actor Value,"Boons and neglect touching stats, skills, resistances, regen, AI data",local master data plus UESP/CK,uesp_actor_values,"Use AV names carefully; not every AV behaves like a normal stat."
LCTN,Location,"Sacred places, hold/community spaces, dungeon/temple/wilderness categorization",local master data plus CK Wiki,ck_keyword,"Location keywords are often safer than cell names."
WRLD,Worldspace,"Skyrim/Solstheim/new-lands scope, sacred-place filtering",local master data,uesp_skyrim_radiant,"New lands from mods can affect radiant behavior and markers."
ECZN,Encounter Zone,"Difficulty context, dungeon scaling, clearable/dungeon signal weighting",local master data plus UESP,uesp_skyrim_radiant,"Use for contextual difficulty, not as a moral signal by itself."
GLOB,Global,"CK-readable mirrors, debug flags, active state, condition bridges",local plugin data,ck_condition_functions,"Globals are condition bridges, not a gameplay source of truth."
FLST,FormList,"Deity roster, curated record sets, offering lists, keyword fallback lists",local plugin data plus CK Wiki,ck_formlist,"Avoid runtime mutation when order matters."
PERK,Perk,"Progression gates, ability grants, transformation trees, perk-entry conditions",local master data plus CK Wiki,local_vanilla_extraction,"Perk entries can carry conditions and fragments; verify exact effects locally."
ENCH,Enchantment,"Equipment reward effects, magnitude references, charge/cast behavior",local master data plus CK Wiki,ck_magic_effect,"Use as a magnitude/effect reference before authoring custom reward enchantments."
SHOU,Shout,"Voice-power records and word/spell linkage",local master data plus CK Wiki,local_vanilla_extraction,"Useful for Dragonborn and voice-power systems; verify word and spell links."
WOOP,Word Of Power,"Word records used by shouts",local master data plus CK Wiki,local_vanilla_extraction,"Many records are technical or untranslated; inspect before player-facing use."
LVLI,Leveled Item,"Loot, vendor, reward, and equipment distribution",local master data plus xEdit,local_vanilla_extraction,"Patch carefully; leveled-list conflicts are common compatibility surfaces."
LVLN,Leveled NPC,"Encounter population and actor distribution",local master data plus xEdit,local_vanilla_extraction,"Use for encounter context, not as moral meaning by itself."
LVSP,Leveled Spell,"Leveled spell and power distribution",local master data plus xEdit,local_vanilla_extraction,"Inspect entries before assuming exact runtime spell availability."
CELL,Cell,"Named interior/exterior spaces, location attachment, encounter zones, music/context",local master data plus xEdit,local_vanilla_extraction,"Full cell dumps are huge; prefer focused candidate extraction."
CONT,Container,"Vendor chests, loot containers, curated stored items",local master data plus xEdit,local_vanilla_extraction,"Vendor chests and placed containers are compatibility-sensitive."
FURN,Furniture,"Crafting stations, beds, markers, ritual/interactable furniture",local master data plus CK Wiki,local_vanilla_extraction,"Workbench and interaction keyword fields are the main modding hooks."
DIAL,Dialogue Topic,"Commitment offers, shrine/cleric interactions, player-facing choices",local plugin data plus CK Wiki,ck_quest_data,"Use quest/global/race/faction conditions rather than script-only gates."
INFO,Dialogue Response,"Dialogue branch conditions and result fragments",local plugin data plus CK Wiki,ck_condition_functions,"Keep player-facing text ASCII and low-friction."
SMEN,Story Manager Event Node,"Event capture routing for kills, crime, location, skill, craft, infection",local master/plugin data plus CK Wiki,ck_sm_event_node,"Mod-added nodes should share events for compatibility."
