signal_family,vanilla_surface,capture_pattern,scoring_use,anti_farm_rule,source_id,status
Hostile kill,"Kill Actor Story Manager event","Existing or custom receiver/router/event service","Combat, protection, hunt, taboo/hostility scoring","Direct player only; target classification; daily caps",ck_sm_event_node,active
Crime pressure,"Crime Gold, Arrest, Jail, Pay Fine events","Story Manager receiver to reputation/state track","Imperial civic order, Stendarr justice, Nocturnal/Mephala contrast","One award per hold/day or per major threshold",ck_sm_event_node,planned
Quest milestone,"Quest stage/completion, Script Event, curated fragments","Curated CK signal through manager/router","Daedric choices, faction allegiance, quest/lore crisis, commitment offers","One-shot StorageUtil marker per quest/stage",ck_condition_functions,planned
Shrine/prayer,"Shrine activation, custom mod activators, blessing spells","Curated activator script or explicit event","Devotional practice, cure privilege, commitment, patron refresh","Cooldown per shrine/religion/day",uesp_skyrim_blessings,planned
Skill milestone,"Increase Skill event or quest reward","Story Manager receiver threshold only","Learning, discipline, martial/magical practice","Milestone bands only; no raw skill XP",uesp_skyrim_skills,planned
Craft/labor,"Craft Item event, workbench result, item keywords/value","Story Manager receiver with item classification","Malacath, Zenithar, Julianos, Bosmer taboo, offering creation","Daily cap; value/quality threshold; no iron-dagger loops",ck_sm_event_node,planned
Magic use,"Cast Magic event, spell keywords/school","Story Manager receiver with spell classification","Restoration, necromancy taboo, Altmer magical study, Daedric magic","Cooldown; meaningful spell families only",ck_sm_event_node,planned
Location/pilgrimage,"Change Location event, location keywords, worldspace","Story Manager receiver with LocType/FormList filters","Sacred places, wilderness, temple, exile, community","Per-location discovery marker and cooldown",ck_sm_event_node,planned
Sleep/rest,"Player alias sleep events or location-gated rest","Player alias event","Mara, Kynareth/Kyne, travel rhythm, neglect recovery","Dawn-only consolidation; no daily chore loop",ck_actor_value,planned
Relationship/community,"Change Relationship Rank, faction rank, curated dialogue","Receiver or curated quest/dialogue signal","Orc community, Mara, Imperial civic belonging, Argonian community","Meaningful thresholds only",ck_sm_event_node,planned
Disease/curse,"Player Cured/Infected, disease effects, race/state checks","Receiver plus curse-state overlay","Arkay, Stendarr, Peryite, vampire/werewolf overlays","State transition markers; no hidden repeated penalties",uesp_skyrim_disease,planned
Offerings,"Player Add Item, shrine container, barter/donation scripts","Curated activator/container script","Zenithar, ancestor rites, Daedric bargains, temple charity","Per-religion/day cap; item whitelist; value bands",ck_sm_event_node,planned
Sacred text/read,"ObjectReference OnRead, PO3 BookRead, Script Event","Book/script receiver routes curated event","Hermaeus Mora, Julianos, Xarxes/Auri-El, ancestor records","One-shot per book or per curated knowledge tier",local_psc_sources,planned
Equipment/taboo,"Player alias OnObjectEquipped/OnObjectUnequipped, WornHasKeyword conditions","Alias event updates state; CK conditions gate boons","Amulets, armor/clothing taboos, holy symbols, Daedric artifacts","State transition only; avoid repeated equip swapping",local_psc_sources,planned
Curse transformation,"OnVampirismStateChanged, OnLycanthropyStateChanged, OnRaceSwitchComplete","Player alias event updates curse/origin-safe state","Hircine, Molag Bal, Arkay, Stendarr, race curse overlays","Transition markers; verify new-game/save-baked behavior",local_psc_sources,planned
Archery/hunting,"OnPlayerBowShot, Kill Actor, optional PO3 projectile/weapon hits","Alias event plus kill validation","Hircine, Kyne/Kynareth, Bosmer hunt rites, Redguard martial practice","Only score meaningful target/context; no target-dummy loops",local_psc_sources,planned
Passive blessing gates,"CK conditions reading globals, factions, keywords, actor values, stages","Condition-only reaction layer","Blessing/neglect visibility, dialogue unlocks, privileges","Conditions read mirrors only; no score truth in CK conditions",ck_condition_functions,active
Dawn audit,"OnUpdateGameTime or central ProcessDawn","Timed manager/alias audit","Daily consolidation, decay, caps, neglect thresholds","One central dawn pass; avoid frequent polling",local_psc_sources,active
PO3 runtime events,"PO3 BookRead, ItemHarvested, QuestStage, SpellLearned, WeatherChange, DragonSoulGained, ShoutAttack, SoulTrapped","Accepted plugin event registration for hooks vanilla cannot expose cleanly","High-granularity religion reactions without hand-authored fragments","Promote only selected events with caps; do not auto-score the full PO3 surface",local_po3_sources,planned
External mod bridge,"SKSE ModEvent, StorageUtil/JContainers integration adapters","Optional compatibility listener/adapter","Survival, needs, religion, perk, or quest-mod compatibility","Never make external mod state your mod's source of truth",skse_source,watch
