location_family,examples,vanilla_surfaces,modding_use,primary_races_or_religions,implementation_hint,source_id,status
Temple of Divines,"Solitude temple, Imperial civic worship spaces","LCTN keywords, dialogue, shrine activators","Imperial civic worship, broad Divines lane, public observance","Imperial, Breton, Divines","Use location plus shrine/cleric FormLists; avoid assuming every temple shares one LocType.",local_smen_scan,design-seed
Temple of Kynareth,"Whiterun temple, Gildergreen context","Location, shrine, quest stages","Kyne/Kynareth healing, nature, wind, mercy","Nord, Imperial, Kyne/Kynareth","Pair shrine activator with Blessing of Kynareth and Gildergreen quest state.",uesp_skyrim_blessings,design-seed
Temple of Mara,"Riften temple, marriage and Book of Love","Location, dialogue, quest stages","Mara reconciliation, marriage, community mercy","Imperial, Breton, Mara","Quest-stage signal is stronger than generic temple presence.",uesp_skyrim_quests,design-seed
Temple of Dibella,"Markarth temple, Sybil quest","Location, quest stages, dialogue","Dibella beauty/art/sexuality boundaries","Dibella, Breton, Imperial","Treat quest choices carefully; avoid shallow sensuality scoring.",uesp_skyrim_quests,design-seed
Hall of the Dead,"Whiterun, Markarth, Falkreath, Windhelm halls","Location, Arkay priests, corpse/quest stages","Arkay rites, ancestor memory, death-order respect","Arkay, Dunmer contrast, Imperials","Good place for privileges and curated local service, not passive score drip.",local_smen_scan,design-seed
Shrine exterior,"Roadside and wilderness shrines","Activator, location, blessing spell","Private prayer, pilgrimage, exile worship","All races with shrine access","Use activator scripts or overlay receivers; do not replace vanilla shrine scripts casually.",uesp_skyrim_blessings,design-seed
Talos shrine space,"Whiterun shrine, hidden/contested Talos sites","Activator, location, crime/faction context","Talos ban defiance vs private faith","Nord, Imperial, Altmer hostility","Score only meaningful public/private pressure contexts, not every blessing refresh.",uesp_skyrim_blessings,design-seed
Orc stronghold,"Dushnikh Yal, Largashbur, Mor Khazgur, Narzulbur","Location, faction/rank, dialogue","Malacath code, community belonging, labor-as-prayer","Orc, Malacath","Use Blood-Kin/community state and stronghold location together.",uesp_skyrim_factions,design-seed
Khajiit caravan camp,"Ahkari/Ri'saad/Ma'dran caravan spaces","NPC/faction, location vicinity, dialogue","Excluded-community worship, moons, caravan cohesion","Khajiit, Khenarthi, Riddle'Thar","Likely needs curated NPC/FormList rather than clean vanilla LocType.",uesp_skyrim_factions,design-seed
Dunmer ancestral substitute,"Raven Rock, Solstheim tombs, ash/ancestor sites","Location, quest stages, portable shrine item","Ancestor memory far from family tombs","Dunmer, Reclamations, ancestors","Use Solstheim locations and custom portable shrine hooks; Skyrim mainland needs substitutes.",uesp_skyrim_quests,design-seed
Nordic ruin,"Bleak Falls style ruins, draugr sites","Location, kill actor, undead keywords","Ancestor-danger, draugr, Kyne/Arkay/Tsun context","Nord, Arkay, Kyne, Tsun","Draugr kills are not generic holy work; classify by quest/location.",uesp_skyrim_radiant,design-seed
Dwemer ruin,"Dwemer locations, Falmer hives","Location, enemy types, quest stages","Lost knowledge, danger, Dwemer/Chimer/Dunmer memory","Dunmer, Julianos, Hermaeus Mora","Prefer quest/book discovery over raw location entry.",uesp_skyrim_radiant,design-seed
Vampire lair,"Movarth's Lair, Bloodlet Throne, Volkihar spaces","Location, actor keywords, Dawnguard quests","Anti-vampire service or vampire-path belonging","Stendarr, Arkay, Molag Bal","Player curse state flips meaning; never one-size-fits-all.",uesp_skyrim_disease,design-seed
Necromancer/warlock lair,"Fort Snowhawk style hostile magic sites","Location, actor/faction, magic effects","Arkay/Stendarr/Julianos taboo study signals","Arkay, Stendarr, Julianos, Mannimarco-adjacent","Classify target faction/spell use; avoid location-only morality.",uesp_skyrim_radiant,design-seed
Bandit lair,"Fort/bandit cave categories","Location, kill actor, bounty/faction","Protection, civic justice, martial practice","Talos, Stendarr, Imperial civic, Kyne","Hostility and victim context matter; not every bandit kill is devotion.",uesp_skyrim_radiant,design-seed
Animal den,"Bear/wolf/sabrecat caves","Location, kill actor, PO3 projectile/hit","Hunt, survival, cruelty, protection","Hircine, Kyne, Y'ffre","Pair animal target with hunger/survival/location context where possible.",uesp_skyrim_radiant,design-seed
