task,CK surface,xEdit review surface,runtime proof,source_id,validation
Choose quest lifecycle,"Quest Data Tab: Event, Start Game Enabled, Run Once, Priority","QUST header, flags, VMAD, aliases, scripts","SQV/GetStage checks, clean-start behavior, save/load behavior",ck_quest_data,implementation-reference
Create persistent service quest,"Quest Data Tab plus Scripts Tab","QUST VMAD script attachment and filled properties","Quest running on new game, bounded event handlers, no stale-property logs",ck_scripts_tab,implementation-reference
Create Story Manager receiver quest,"Quest Data Tab Event plus Story Manager node","QUST event data, receiver quest script VMAD, SMEN/related overrides where visible","Trigger event in game and confirm receiver starts, handles payload, and stops or resets as intended",ck_sm_event_node,implementation-reference
Attach quest script,"Scripts Tab on the owning quest","VMAD script name, property names, property targets, duplicate script rows","Script events fire, properties are non-None, no missing-script warnings",ck_scripts_tab,implementation-reference
Wire script properties,"Quest Scripts Tab, alias script tab, magic effect script tab, topic/fragment property UI","VMAD property type and target FormID on the owning record","Normal-play action reaches the wired object and survives save/load where persistent",ck_save_files_notes,implementation-reference
Design alias fill contract,"Quest Alias Tab","Alias list, alias scripts, fill target records, VMAD on alias scripts","Aliases fill when quest starts; optional aliases fail safely; required aliases do not block startup unexpectedly",ck_quest_alias_tab,implementation-reference
Attach ReferenceAlias event surface,"Quest Alias Tab script attachment","Alias VMAD script attachment and property wiring","Alias event fires from the filled reference and unregisters or cleans up when appropriate",local_psc_sources,local-data-backed
Author quest stages,"Quest Stages Tab","Stage data, result scripts, generated fragment references","SetStage or normal progression runs once and reaches expected quest state",ck_quest_stages_tab,implementation-reference
Add quest stage fragment,"Quest Stage Fragments UI","Fragment script VMAD, generated script name, properties","Stage start runs tiny fragment and routes to owned script/event surface",ck_quest_stage_fragments,implementation-reference
Author dialogue branch/topic/info,"Dialogue Views Tab and Player Dialogue Tab","DIAL/INFO records, conditions, scripts/fragments where visible","Dialogue appears only under intended conditions; wrong actors/contexts do not see it",ck_player_dialogue_tab,implementation-reference
Review topic ordering and conditions,"Topic and Topic Info stack","INFO order, conditions, prompts, flags, fragments","First valid info is selected as intended; random/once behavior is tested across save/load",ck_topic,implementation-reference
Author scene,"Scenes Tab","Scene record, alias actor links, phase fragments","Scene starts, pauses, completes, or stops quest according to actor/combat/dialogue flags",ck_scenes_tab,implementation-reference
Generate SEQ after eligible quest/dialogue changes,"CK or xEdit SEQ generation workflow","Presence and packaging of Seq/<plugin>.seq","Start Game Enabled quest/dialogue is visible from a new game without save/reload masking",ck_quest_data,implementation-reference
Review CK save side effects,"Save active plugin in CK","Unexpected overrides, dirty edits, masters, VMAD, NAVI/navmesh, generated records","Clean in-game smoke plus xEdit review before release",xedit_docs,source-backed
Package dialogue view output,"Dialogue Views Tab generated XML","DialogueViews XML presence and plugin/FormID naming sensitivity","Other author can open/edit dialogue views when files are distributed correctly",ck_dialogue_views_tab,implementation-reference
Run CK through active mod-manager profile,"MO2 executable entry for CK or CKPE","Plugin active file, source/output visibility, overwrite/output mods","CK sees intended scripts/plugins and game sees saved plugin/output",mo2_ck_setup,workflow-synthesis
Use CKPE with supported CK version,"CKPE loader/settings","Not usually xEdit-visible; record CKPE version in release notes if relevant","CK starts, warnings/features match installed CKPE docs, no reliance on unavailable CKPE behavior",ckpe_wiki,source-backed
Validate current local tool baseline,"Local CK and xEdit executable inspection","Record tool versions in update/release notes","Authoring review can be reproduced against the stated CK/xEdit versions",local_ck_xedit_versions,local-data-backed
