event_name,local_smen_formid,local_smen_type,quest_event,availability,modding_priority,candidate_signal,capture_pattern,compatibility_note,status,source_id
Actor Dialogue Event,Skyrim.esm:015FCE,ActorDialogueEvent,OnStoryDialogue,local_smen+quest_event,low,"NPC-to-NPC or player-adjacent dialogue scene starts","Story Manager receiver with alias/event data","Usually too noisy for religion scoring; prefer curated dialogue fragments for quest/lore moments.",watch,local_smen_scan
Actor Hello Event,Skyrim.esm:02FD4A,ActorHelloEvent,OnStoryHello,local_smen+quest_event,low,"Hello scenes and ambient greetings","Story Manager receiver with alias/event data","Ambient hello traffic is noisy; use only for specific NPC/keyword conditions.",watch,local_smen_scan
Arrest Event,Skyrim.esm:06B369,ArrestEvent,OnStoryArrest,local_smen+quest_event,medium,"Submission to law, guard intervention, civic punishment","Thin receiver updates civic/reputation state","Avoid punishing twice for the same crime chain.",planned,local_smen_scan
Assault Actor Event,Skyrim.esm:02C494,AssaultActorEvent,OnStoryAssaultActor,local_smen+quest_event,high,"Nonlethal violence, persecution, first-strike aggression","Thin receiver with attribution payload","Do not double-score with Kill Actor without cooldown/state markers.",planned,local_smen_scan
Bribe,Skyrim.esm:05BD77,Bribe,OnStoryBribeNPC,local_smen+quest_event,medium,"Corruption, mercy, social manipulation, civic compromise","Story Manager receiver or reputation-state update","Useful for Zenithar/Imperial/Stendarr/Nocturnal contrasts; cap per actor/day.",planned,local_smen_scan
Cast Magic Event,Skyrim.esm:046829,CastMagicEvent,OnStoryCastMagic,local_smen+quest_event,medium,"School-specific magic use, restoration, necromancy, Daedric magic","Receiver classifies spell/keyword and routes curated event","Raw casts are farmable; use cooldowns and meaningful spell families only.",planned,local_smen_scan
Change Location Event,Skyrim.esm:01320E,ChangeLocationEvent,OnStoryChangeLocation,local_smen+quest_event,high,"Pilgrimage, sacred places, wilderness, temple/city/hold transitions","Receiver checks LocType/hold/worldspace/FormList and cooldowns","Location spam is possible; cap by place and day.",planned,local_smen_scan
Change Relationship Rank,Skyrim.esm:025E22,ChangeRelationshipRank,OnStoryRelationshipChange,local_smen+quest_event,medium,"Marriage, follower trust, community standing, intimidation outcomes","Receiver or curated dialogue signal","Relationship rank can change for broad reasons; use thresholds only.",planned,local_smen_scan
Craft Item,Skyrim.esm:039D86,CraftItem,OnStoryCraftItem,local_smen+quest_event,medium,"Smithing/labor, alchemy, enchanting, offering creation, Bosmer plant taboo","Receiver classifies bench/item keyword/value","Craft loops are farmable; use daily caps and value/quality thresholds.",planned,local_smen_scan
Crime Gold Event,Skyrim.esm:05B5DA,CrimeGoldEvent,OnStoryCrimeGold,local_smen+quest_event,high,"Reported crime, bounty, hold civic standing, justice pressure","Receiver updates reputation/state track, not religion score directly","Bounty is witnessed/reported behavior only.",planned,local_smen_scan
Dead Body,Skyrim.esm:03833D,DeadBody,OnStoryDiscoverDeadBody,local_smen+quest_event,medium,"Corpse discovery, murder aftermath, Arkay/ancestor/justice reactions","Receiver validates discovered dead actor/context","Discovery is not guilt; avoid treating it as murder evidence.",planned,local_smen_scan
Escape Jail,Skyrim.esm:05BD78,EscapeJail,OnStoryEscapeJail,local_smen+quest_event,medium,"Defiance of civic punishment, outlaw path","Receiver updates civic/reputation state","May already follow arrest/jail; de-dupe with crime chain markers.",planned,local_smen_scan
Flatter,Skyrim.esm:05BD7C,Flatter,OnStoryFlatterNPC,local_smen+quest_event,low,"Speech persuasion style, social grace","Receiver only if tied to curated targets","Generic speech checks are weak quest/lore context signals.",watch,local_smen_scan
Increase Level,Skyrim.esm:05BD79,IncreaseLevel,OnStoryIncreaseLevel,local_smen+quest_event,low,"Player growth milestones","Receiver updates broad progression state","Too generic for religion scoring except major gates/debug.",watch,local_smen_scan
Intimidate,Skyrim.esm:05BD7D,Intimidate,OnStoryIntimidateNPC,local_smen+quest_event,medium,"Coercion, dominance, fear, social violence","Receiver or curated dialogue signal","Use target/context filters; generic intimidation is not always religiously meaningful.",planned,local_smen_scan
Jail Event,Skyrim.esm:05BD7A,JailEvent,OnStoryJail,local_smen+quest_event,medium,"Served sentence start, civic consequence","Receiver updates civic/reputation state","Avoid stacking with arrest/pay-fine/served-time without chain markers.",planned,local_smen_scan
Kill Actor Event,Skyrim.esm:013010,KillActorEvent,OnStoryKillActor,local_smen+quest_event,live,"Hostile beast/humanoid kills, murder/innocent checks, undead/Daedra/bandit categories","Existing or custom receiver/router/event service","Shares Event required; direct-player route requires per-mod runtime proof.",active,local_smen_scan
Lock Pick,Skyrim.esm:05BD7B,LockPick,OnStoryPickLock,local_smen+quest_event,medium,"Nocturnal, theft, trespass, dungeon utility","Receiver checks ownership/crime/context","Lockpicking is common and farmable; use context and caps.",planned,local_smen_scan
New Voice Power,Skyrim.esm:02D389,NewVoicePower,OnStoryNewVoicePower,local_smen+quest_event,medium,"Word/shout learning, Talos/Kyne/Nord voice path","Receiver classifies voice power","Learning a word is not the same as using a shout.",planned,local_smen_scan
Pay Fine Event,,,OnStoryPayFine,papyrus_event_no_local_smen,medium,"Restitution, civic compliance, wealth sacrifice","Requires CK/xEdit proof before relying on Story Manager root wiring","Could be farmed by petty crime unless capped.",needs-proof,local_psc_sources
PickPocket Event,,,,ck_listed_only,medium,"Pickpocket success/attempt, theft discipline","No local Quest.psc receiver found; prefer crime/item/faction alternatives until proven","CK page lists it, but local source and SMEN scan did not expose a matching receiver.",watch,ck_sm_event_node
Player Activate Actor,Skyrim.esm:01A838,PlayerActivateActor,OnStoryActivateActor,local_smen+quest_event,low,"Priest/NPC interaction hooks, mercy/persecution choices","Usually better as curated dialogue/quest signal","Do not use for generic NPC clicks.",watch,local_smen_scan
Player Add Item,Skyrim.esm:02C439,PlayerAddItem,OnStoryAddToPlayer,local_smen+quest_event,medium,"Offerings, relic acquisition, sacred texts, Daedric artifacts","Receiver validates item/FormList/acquire type","Avoid scoring generic loot.",planned,local_smen_scan
Player Cured,,,OnStoryCure,papyrus_event_no_local_smen,medium,"Disease cure, purification, curse resolution","Requires CK/xEdit proof before relying on Story Manager root wiring","Verify regular disease vs vampirism/lycanthropy coverage.",needs-proof,local_psc_sources
Player Infected,,,OnStoryInfection,papyrus_event_no_local_smen,medium,"Disease contraction, Peryite/Arkay/Stendarr/curse pressure","Requires CK/xEdit proof before relying on Story Manager root wiring","Use state transition markers, not repeated hidden penalties.",needs-proof,local_psc_sources
