task,use_creation_kit,use_xedit,use_local_extraction,use_runtime_test,notes,source_id,validation
Create quest structure and stages,primary,review,optional,required,"Author quests in CK, then inspect stages, aliases, scripts, and accidental edits in xEdit.",ck_quest_data,implementation-reference
Author dialogue scenes and responses,primary,review,optional,required,"Use CK for dialogue authoring and conditions; use xEdit to audit records and conflicts after saving.",ck_quest_data,implementation-reference
Wire aliases and reference persistence,primary,review,optional,required,"CK owns alias setup; verify persistence assumptions and VMAD/property state before release.",ck_creationkit_persistence,implementation-reference
Create or edit magic effects and ability spells,primary,review,useful,required,"Use CK for archetypes, conditions, UI flags, and spell/effect relationships; use extracted palettes for discovery only.",ck_magic_effect,implementation-reference
Inspect load-order conflicts,not-usually,primary,useful,as-needed,"Use xEdit to see winners, losers, and patch candidates; test runtime when conflict behavior matters.",xedit_docs,source-backed
Forward conflicts into a compatibility patch,as-needed,primary,useful,required,"Patch by intended fields, not by color alone; prefer separate patch plugins over editing original mods.",xedit_docs,implementation-reference
Clean dirty overrides and unwanted masters,review-context,primary,optional,required,"Manual review comes first; QuickAutoClean is useful for release plugins but does not replace author judgment.",beyond_skyrim_xedit_cleaning,workflow-synthesis
Review plugin masters and file header,secondary,primary,optional,required,"Verify plugin type, masters, and header behavior in xEdit; version-sensitive behavior should be checked against xEdit release notes.",xedit_releases,source-backed
Plan ESL or ESPFE release shape,secondary,primary,useful,required,"Confirm record count, compacting needs, header behavior, and downstream patch impact before changing plugin type.",ck_data_file,implementation-reference
Inspect FormIDs and load-order prefixes,secondary,primary,useful,as-needed,"Use EditorID plus source plugin in docs; do not treat runtime load-order prefixes as stable.",uesp_skyrim_form_id,source-backed
"Create placed references, cells, or navmesh",primary,review,useful,required,"Use CK for spatial authoring; inspect broad overrides and NAVI/navmesh side effects after saving.",ck_data_file,implementation-reference
Curate leveled lists or distribution edits,as-needed,primary,primary,required,"Use extraction for discovery and xEdit for patch review; test distribution in representative load orders.",local_vanilla_extraction,local-data-backed
Add release metadata for LOOT,not-usually,review,not-needed,as-needed,"Include parseable version info and specific load-order rationale when relevant; avoid vague load-last guidance.",loot_mod_authors,source-backed
Choose Bash tags,not-usually,review,not-needed,as-needed,"Add tags only when the Bashed Patch should preserve the plugin's change; do not tag unimportant edits.",wrye_bash_advanced,source-backed
Configure CK through MO2,primary,not-usually,not-needed,smoke-test,"Run CK in the active mod-manager profile and verify scripts and plugin visibility before authoring.",mo2_ck_setup,workflow-synthesis
Use CKPE with current CK,primary,not-usually,not-needed,smoke-test,"Verify CKPE supports the installed CK version and review CKPE settings before treating warnings or Unicode behavior as solved.",ckpe_wiki,source-backed
Audit Papyrus VMAD after script changes,primary,primary,optional,required,"Use CK for property wiring and xEdit for VMAD inspection; test old-save migration when properties change.",ck_save_files_notes,implementation-reference
Package assets and generated files,primary,review,optional,required,"Use current CK asset tooling where applicable; verify paths, archives, facegen, scripts, and loose-file assumptions in game.",ck_asset_watcher,source-backed
